,game_date,season,lc_fgm,rc_fgm,abv_fgm,lc_fga,rc_fga,abv_fga,total_makes,total_attempts,cumulative_makes,cumulative_attempts
0,2016-10-25,2016-17,0.0,0,3,1.0,1,8,3.0,10.0,3,10
1,2016-10-28,2016-17,1.0,0,3,1.0,0,9,4.0,10.0,7,20
2,2016-10-30,2016-17,0.0,0,4,2.0,0,5,4.0,7.0,11,27
3,2016-11-01,2016-17,0.0,1,4,1.0,1,8,5.0,10.0,16,37
4,2016-11-03,2016-17,0.0,1,1,0.0,1,5,2.0,6.0,18,43
5,2016-11-04,2016-17,0.0,0,0,2.0,0,8,0.0,10.0,18,53
6,2016-11-07,2016-17,1.0,0,12,1.0,0,15,13.0,16.0,31,69
7,2016-11-09,2016-17,0.0,0,4,2.0,0,6,4.0,8.0,35,77
8,2016-11-10,2016-17,0.0,0,7,2.0,0,11,7.0,13.0,42,90
9,2016-11-13,2016-17,1.0,0,4,1.0,0,8,5.0,9.0,47,99
10,2016-11-16,2016-17,0.0,0,3,0.0,0,9,3.0,9.0,50,108
11,2016-11-18,2016-17,0.0,1,1,0.0,2,8,2.0,10.0,52,118
12,2016-11-19,2016-17,0.0,1,0,1.0,1,9,1.0,11.0,53,129
13,2016-11-21,2016-17,0.0,0,2,1.0,0,5,2.0,6.0,55,135
14,2016-11-23,2016-17,0.0,1,6,0.0,1,10,7.0,11.0,62,146
15,2016-11-25,2016-17,1.0,0,3,1.0,0,9,4.0,10.0,66,156
16,2016-11-26,2016-17,1.0,1,2,1.0,1,6,4.0,8.0,70,164
17,2016-11-28,2016-17,0.0,0,4,0.0,0,11,4.0,11.0,74,175
18,2016-12-01,2016-17,0.0,1,3,0.0,3,10,4.0,13.0,78,188
19,2016-12-03,2016-17,1.0,0,4,1.0,0,6,5.0,7.0,83,195
20,2016-12-05,2016-17,1.0,0,1,1.0,1,4,2.0,6.0,85,201
21,2016-12-07,2016-17,0.0,0,0,1.0,1,5,0.0,7.0,85,208
22,2016-12-08,2016-17,0.0,1,2,2.0,2,5,3.0,9.0,88,217
23,2016-12-10,2016-17,0.0,0,3,0.0,0,10,3.0,10.0,91,227
24,2016-12-11,2016-17,0.0,0,2,0.0,0,5,2.0,5.0,93,232
25,2016-12-13,2016-17,1.0,0,4,1.0,0,8,5.0,9.0,98,241
26,2016-12-15,2016-17,0.0,1,1,0.0,1,7,2.0,8.0,100,249
27,2016-12-17,2016-17,0.0,1,4,0.0,1,7,5.0,8.0,105,257
28,2016-12-20,2016-17,0.0,0,4,0.0,1,8,4.0,9.0,109,266
29,2016-12-22,2016-17,0.0,1,2,4.0,1,6,3.0,11.0,112,277
30,2016-12-23,2016-17,1.0,1,3,1.0,1,8,5.0,10.0,117,287
31,2016-12-25,2016-17,1.0,0,1,1.0,0,6,2.0,7.0,119,294
32,2016-12-28,2016-17,1.0,0,2,1.0,0,5,3.0,6.0,122,300
33,2016-12-30,2016-17,0.0,1,2,0.0,1,5,3.0,6.0,125,306
34,2017-01-02,2016-17,0.0,0,3,0.0,1,8,3.0,9.0,128,315
35,2017-01-04,2016-17,0.0,2,3,0.0,3,9,5.0,12.0,133,327
36,2017-01-06,2016-17,0.0,0,5,0.0,0,13,5.0,13.0,138,340
37,2017-01-08,2016-17,1.0,0,4,2.0,1,8,5.0,11.0,143,351
38,2017-01-10,2016-17,0.0,0,4,1.0,0,10,4.0,11.0,147,362
39,2017-01-12,2016-17,0.0,0,3,0.0,0,9,3.0,9.0,150,371
40,2017-01-16,2016-17,0.0,0,5,1.0,1,10,5.0,12.0,155,383
41,2017-01-18,2016-17,0.0,0,2,0.0,0,5,2.0,5.0,157,388
42,2017-01-20,2016-17,1.0,0,4,1.0,0,10,5.0,11.0,162,399
43,2017-01-22,2016-17,2.0,0,5,2.0,1,10,7.0,13.0,169,412
44,2017-01-23,2016-17,0.0,0,3,0.0,0,9,3.0,9.0,172,421
45,2017-01-25,2016-17,0.0,1,5,0.0,1,10,6.0,11.0,178,432
46,2017-01-28,2016-17,1.0,0,7,1.0,1,11,8.0,13.0,186,445
47,2017-02-01,2016-17,0.0,0,11,0.0,0,15,11.0,15.0,197,460
