,threesMade,name,player_id,game_id,game_date,season,team,height,exp,daysBetweenGames,gamesInFive,gamesInThree,oppGamesFive,oppGamesThree,oppDaysLastGame,netRest,home,tmGameCt,Starter,mvAvgstart,mvAvgThrees,mvAvgUsage,mvAvgOffRating,mvAvgMarginOffRating,mvAvgMinutes,mvAvgFtPrct,mvAvgThrPtPrct,seasonUsage,seasonOffRating,seasonFtPrct,seasonThrPtPrct,past3FtPrct,past3ThrPtPrct,past3Usage,past3OffRating,past3AvgThrees,mvAvgOppPace,mvAvgOppOpen3,mvAvgOppOpen3Rate,mvAvgOppWide3,mvAvgOppWide3Rate,mvAvgOppDefRating,seasonOppPace,seasonOppOpen3,seasonOppWide3,seasonOppDefRating,mvGood3Rate,mvAvgTeamPace,ra_fgaskew,ra_fgakurt,paint_fgaskew,paint_fgakurt,mid_fgaskew,mid_fgakurt,crn_fgaskew,crn_fgakurt,abv_fgaskew,abv_fgakurt,wide_fg3allowed,crn_fgallowed,abv_fgallowed,ra_residualsAllowed,paint_residualsAllowed,mid_residualsAllowed,threes_residualsAllowed,ra_fgallowedskew,ra_fgallowedkurt,paint_fgallowedskew,paint_fgallowedkurt,mid_fgallowedskew,mid_fgallowedkurt,crn_fgallowedskew,crn_fgallowedkurt,abv_fgallowedskew,abv_fgallowedkurt,ra_residualsAllowedskew,ra_residualsAllowedkurt,ra_residualsAllowedMv,paint_residualsAllowedskew,paint_residualsAllowedkurt,paint_residualsAllowedMv,mid_residualsAllowedskew,mid_residualsAllowedkurt,mid_residualsAllowedMv,threes_residualsAllowedskew,threes_residualsAllowedkurt,threes_residualsAllowedMv,crn_fgallowedMv,abv_fgallowedMv,wide_fg3allowedcoefVar,abv_kurtSkew,crn_kurtSkew,crn_fgaMv,abv_fgaMv,threesMadeMv,cornerRatio,crn_interaction,abv_interaction,wide_interaction,crResid_interaction,usage_interaction
69562,0,Kevon Looney,1626172,0022200002,2022-10-18,2022-23,GSW,81,7.0,10.0,1,1,1.0,1.0,9.0,,1.0,1.0,0.0,,1.1851851851851853,0.1838888888888889,115.20000000000002,,24.455030864197536,0.7280177694109583,0.2605223037831733,0.18848027458682137,110.35179991880892,0.7455948730450315,0.33117609187308467,0.6254180602006689,0.15,0.11708502024291512,111.44615384615376,0.024291497975708502,99.79759349593495,0.4025496768015322,,0.49381134785731384,,114.1397967479674,113.5,0.4025496768015322,0.49381134785731384,107.0,,,0.7054716310367818,0.15968942607860198,1.3202801948447942,0.8076923076923055,0.5473172873368348,-0.38461538461538314,0.0,-3.0,0.0,-3.0,16.0,10.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
69563,4,Jaylen Brown,1627759,0022200001,2022-10-18,2022-23,BOS,78,6.0,10.0,1,1,1.0,1.0,9.0,,1.0,1.0,0.0,,1.3333333333333335,0.19089583333333338,118.65208333333334,,26.25895833333334,0.7877699905873281,0.2605223037831733,0.18727613886968822,110.90407450380172,0.7552847184335886,0.3405531445458337,0.7338056680161943,0.3704481792717087,0.2637764227642279,112.15121951219511,2.1902834008097165,99.79759349593495,0.4025496768015322,,0.49381134785731384,,114.1397967479674,97.5,0.4025496768015322,0.49381134785731384,129.9,,,0.18053821629070538,-0.6101618089562074,0.23856299913885332,0.5242768595041338,0.3664211267810758,-0.354884449577479,1.1296331863021507,0.32252005391907584,-0.3122474341438572,0.4606131226759366,14.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.14382526568855095,0.3643293561549471,0.619307113398879,5.273169312994591,3.2206372113729147,-0.7351978563373132,0.0,0.0,,-0.0,
69564,0,Malcolm Brogdon,1627763,0022200001,2022-10-18,2022-23,BOS,76,6.0,10.0,1,1,1.0,1.0,9.0,,1.0,1.0,0.0,,1.1666666666666667,0.18466666666666676,118.03333333333333,,25.913015873015883,0.7950454027764954,0.2471245059288537,0.17580141723915785,110.50974622296829,0.7431825353526725,0.34072104875717096,0.8850267379679144,0.37145390070921985,0.22836032388663954,110.04777327935223,1.7408906882591093,99.79759349593495,0.4025496768015322,,0.49381134785731384,,114.1397967479674,97.5,0.4025496768015322,0.49381134785731384,129.9,,,1.3294457176467578,1.6912517682757016,2.15930473934368,5.322749100608712,0.16832956375009075,-0.9093803310230394,1.81142209327368,4.2628205128205146,0.434369220446059,-0.32266969751651614,14.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.14015778497181478,7.721767256583319,1.0003060473679406,2.737094504070896,2.083978775447663,-0.29459790884494386,0.0,0.0,,-0.0,
69565,1,Georges Niang,1627777,0022200001,2022-10-18,2022-23,PHI,79,6.0,10.0,1,1,1.0,1.0,9.0,,0.0,1.0,0.0,,1.166666666666667,0.18033333333333346,118.03333333333335,,26.29898148148149,0.8208863032392445,0.23291304347826083,0.16738168043623747,110.9023287581054,0.7352886166998241,0.3428350278005701,0.88,0.4141791044776119,0.168348178137652,108.18947368421054,1.48582995951417,99.79759349593495,0.4025496768015322,,0.49381134785731384,,114.1397967479674,97.5,0.4025496768015322,0.49381134785731384,119.4,,,1.1724322978427606,0.5931718403819516,0.840720619905746,-0.4698487108459284,2.4047631387103303,4.349112426035515,0.5518606681171822,-0.6654516397073513,-0.5679136258327024,-1.0546229609953355,23.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5989347496652817,-0.36723658648857327,1.7880578463096104,4.617512974930708,2.810315720678395,-0.29459790884494386,0.0,0.0,,-0.0,
69566,2,Jayson Tatum,1628369,0022200001,2022-10-18,2022-23,BOS,80,5.0,10.0,1,1,1.0,1.0,9.0,,1.0,1.0,0.0,,0.8000000000000004,0.17050000000000007,118.47333333333336,,25.254611111111114,0.8383968972204269,0.19874999999999995,0.16701817912511102,110.52986768045818,0.7202022864384489,0.3408144269525475,0.8473344103392568,0.37902753368482717,0.2850325203252029,114.97235772357725,2.6639676113360324,99.79759349593495,0.4025496768015322,,0.49381134785731384,,114.1397967479674,97.5,0.4025496768015322,0.49381134785731384,129.9,,,0.26926282462466694,-0.27998516634879966,0.7987790569971868,1.1258741258741265,0.31471498962480443,-0.47379493277234147,0.5788052811305192,0.5016816548060686,0.4454845461716621,1.470212574804683,14.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6549569816627351,0.29037599124805064,0.5408900918204737,8.468087828742553,4.67707869450385,-0.7351978563373132,0.0,0.0,,-0.0,
69567,0,Derrick White,1628401,0022200001,2022-10-18,2022-23,BOS,76,5.0,10.0,1,1,1.0,1.0,9.0,,1.0,1.0,0.0,,0.8750000000000004,0.17362500000000008,120.60833333333336,,25.867847222222228,0.8337104072398192,0.13999999999999993,0.17103689394687457,111.36769897304235,0.72664174693695,0.3416532784899215,0.8308270676691729,0.354978354978355,0.1832367149758455,110.19033816425117,1.2173913043478262,99.79759349593495,0.4025496768015322,,0.49381134785731384,,114.1397967479674,97.5,0.4025496768015322,0.49381134785731384,129.9,,,1.0381527976994704,0.2992261929525229,0.06634600811033681,-1.2154857889284274,0.25598422138411814,-0.5048076923076916,0.623148144077679,-0.1794871794871795,1.3241898061650679,1.5032051282051266,14.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.9905289073442827,-0.11184710278317317,1.4445737844942053,4.194411284967121,2.202272011895201,-0.29459790884494386,0.0,0.0,,-0.0,
69568,1,Donte DiVincenzo,1628978,0022200002,2022-10-18,2022-23,GSW,76,4.0,10.0,1,1,1.0,1.0,9.0,,1.0,1.0,0.0,,1.1666666666666672,0.17872222222222225,117.81666666666673,,25.599166666666665,0.8039215686274512,0.2099999999999999,0.18132696970694387,111.07630865782342,0.7148874086143461,0.35977055812897085,0.7575757575757576,0.3553299492385787,0.16638547486033517,113.54078212290507,1.6201117318435754,99.79759349593495,0.4025496768015322,,0.49381134785731384,,114.1397967479674,113.5,0.4025496768015322,0.49381134785731384,107.0,,,0.813920820591383,0.712015257469804,0.40923745230824105,-0.7459715329839696,0.5547871557170474,-1.1317408365748753,0.4930066485916346,-0.598290598290597,0.401838608759262,-0.6551933699567627,16.0,10.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.26328199225171794,-0.2949612427471312,2.0739755097461288,5.2681090742607815,3.16913878485497,-0.29459790884494386,0.0,0.0,,-0.0,
69569,1,De'Anthony Melton,1629001,0022200001,2022-10-18,2022-23,PHI,75,4.0,10.0,1,1,1.0,1.0,9.0,,0.0,1.0,0.0,,1.7500000000000009,0.19383333333333327,114.8333333333334,,25.247777777777774,1.0,0.2099999999999999,0.18491525130838338,109.29047924689775,0.7900432900432903,0.35977055812897085,0.7689873417721519,0.37483085250338294,0.18463133640552995,108.94470046082947,1.327188940092166,99.79759349593495,0.4025496768015322,,0.49381134785731384,,114.1397967479674,97.5,0.4025496768015322,0.49381134785731384,119.4,,,0.5874024977822339,-0.08814525164072798,0.4936989760000664,-0.3494505494505496,0.1489608979310544,-2.3076923076923084,0.8139208205913823,0.7120152574698033,-0.20866575686010289,-1.258065254198512,23.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.26251513844673025,0.5795240426334066,1.6031264917934684,6.9064493592440686,4.7428890838006525,-0.51461064452263,0.0,0.0,,-0.0,
69570,0,Lonnie Walker IV,1629022,0022200002,2022-10-18,2022-23,LAL,76,4.0,10.0,1,1,1.0,1.0,9.0,,0.0,1.0,0.0,,0.0,0.14966666666666664,107.33333333333343,,23.1761111111111,1.0,0.0,0.15369635627530354,107.88421052631574,0.7619047619047619,0.33613445378151263,0.7884615384615384,0.3447204968944099,0.20486666666666672,106.82222222222214,1.3333333333333333,99.79759349593495,0.4025496768015322,,0.49381134785731384,,114.1397967479674,113.5,0.4025496768015322,0.49381134785731384,97.3,,,-0.06634600811033681,-1.2154857889284274,2.873415758518382,9.711538461538462,-0.5282938496664262,0.12678457276794428,0.9380008508241537,0.5016742760667475,0.6065146764573071,1.0854680513156176,18.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6583523039484354,0.47057089778720057,0.7508455852400312,5.853391001775524,3.0213828340821127,-0.7351978563373132,0.0,0.0,,-0.0,
69571,0,Wenyen Gabriel,1629117,0022200002,2022-10-18,2022-23,LAL,81,3.0,10.0,1,1,1.0,1.0,9.0,,0.0,1.0,0.0,,0.43636363636363634,0.15181818181818177,108.5709090909091,,,0.6615384615384615,0.3684210526315789,0.15181818181818177,108.5709090909091,0.6615384615384615,0.3684210526315789,0.6615384615384615,0.3684210526315789,0.15181818181818177,108.5709090909091,0.43636363636363634,99.79759349593495,0.4025496768015322,,0.49381134785731384,,114.1397967479674,113.5,0.4025496768015322,0.49381134785731384,97.3,,,0.5382453524077101,-0.3855242111385779,1.6189863692771862,3.634615384615382,2.4047631387103303,4.349112426035515,1.558286985061904,1.0457724094087728,1.6319870856993823,1.3200511399957275,18.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.154306412935775,1.62961353491852,0.1664030342322935,0.3006370411916981,0.012460995591639273,-0.13732763635137965,0.0,0.0,,-0.0,
