,game_id,player_id,team_first,game_first,name,team,Starter,team_id,game_date,home
0,0022400642,202331,1,1,Paul George,PHI,0.0,1610612755,2025-01-25,0
9,0022400642,202696,1,0,Nikola Vucevic,CHI,1.0,1610612741,2025-01-25,1
20,0022400635,203915,1,1,Spencer Dinwiddie,DAL,0.0,1610612742,2025-01-25,1
30,0022400635,201950,1,0,Jrue Holiday,BOS,0.0,1610612738,2025-01-25,0
41,0022400643,1628374,1,1,Lauri Markkanen,UTA,0.0,1610612762,2025-01-25,0
50,0022400643,1641744,1,0,Zach Edey,MEM,0.0,1610612763,2025-01-25,1
61,0022400636,1629651,1,1,Nic Claxton,BKN,0.0,1610612751,2025-01-25,1
70,0022400636,1629639,1,0,Tyler Herro,MIA,0.0,1610612748,2025-01-25,0
79,0022400645,201142,1,0,Kevin Durant,PHX,0.0,1610612756,2025-01-25,1
88,0022400645,1628398,1,1,Kyle Kuzma,WAS,0.0,1610612764,2025-01-25,0
97,0022400644,203952,1,0,Andrew Wiggins,GSW,0.0,1610612744,2025-01-25,1
109,0022400644,1627827,1,1,Dorian Finney-Smith,LAL,0.0,1610612747,2025-01-25,0
117,0022400641,1628370,1,0,Malik Monk,SAC,0.0,1610612758,2025-01-25,0
129,0022400641,1628384,1,1,OG Anunoby,NYK,0.0,1610612752,2025-01-25,1
142,0022400638,1631094,1,0,Paolo Banchero,ORL,0.0,1610612753,2025-01-25,1
153,0022400638,1641709,1,1,Ausar Thompson,DET,0.0,1610612765,2025-01-25,0
164,0022400646,1627884,1,1,Derrick Jones Jr.,LAC,0.0,1610612746,2025-01-25,1
174,0022400646,1627752,1,0,Taurean Prince,MIL,0.0,1610612749,2025-01-25,0
186,0022400633,1629614,1,1,Andrew Nembhard,IND,0.0,1610612754,2025-01-25,0
198,0022400633,203084,1,0,Harrison Barnes,SAS,0.0,1610612759,2025-01-25,1
213,0022400640,1641708,1,0,Amen Thompson,HOU,0.0,1610612745,2025-01-25,0
222,0022400640,1628378,1,1,Donovan Mitchell,CLE,0.0,1610612739,2025-01-25,1
232,0022400634,203944,1,1,Julius Randle,MIN,0.0,1610612750,2025-01-25,1
244,0022400634,203999,1,0,Nikola Jokic,DEN,0.0,1610612743,2025-01-25,0
256,0022400637,1629627,1,0,Zion Williamson,NOP,0.0,1610612740,2025-01-25,0
266,0022400637,1628970,1,1,Miles Bridges,CHA,0.0,1610612766,2025-01-25,1
277,0022400639,1627751,1,0,Jakob Poeltl,TOR,0.0,1610612761,2025-01-25,0
288,0022400639,1629027,1,1,Trae Young,ATL,0.0,1610612737,2025-01-25,1
298,0022400631,1627824,1,1,Guerschon Yabusele,PHI,1.0,1610612755,2025-01-24,1
305,0022400631,1628378,1,0,Donovan Mitchell,CLE,1.0,1610612739,2025-01-24,0
315,0022400632,203468,1,0,CJ McCollum,NOP,0.0,1610612740,2025-01-24,0
325,0022400632,1630217,1,1,Desmond Bane,MEM,0.0,1610612763,2025-01-24,1
335,0022400630,1629014,1,1,Anfernee Simons,POR,0.0,1610612757,2025-01-24,0
344,0022400630,203995,1,0,Vasilije Micic,CHA,0.0,1610612766,2025-01-24,1
354,0022400625,1631119,1,1,Jaylin Williams,OKC,0.0,1610612760,2025-01-23,1
363,0022400625,1629655,1,0,Daniel Gafford,DAL,0.0,1610612742,2025-01-23,0
372,0022400624,201572,1,0,Brook Lopez,MIL,0.0,1610612749,2025-01-23,1
386,0022400624,1629639,1,1,Tyler Herro,MIA,0.0,1610612748,2025-01-23,0
396,0022400629,204001,1,0,Kristaps Porzingis,BOS,0.0,1610612738,2025-01-23,0
409,0022400983,1626181,1,1,Norman Powell,LAC,0.0,1610612746,2025-01-23,1
422,0022400983,1642259,1,0,Alexandre Sarr,WAS,0.0,1610612764,2025-01-23,0
434,0022400623,1629027,1,0,Trae Young,ATL,0.0,1610612737,2025-01-23,1
444,0022400623,1641711,1,1,Gradey Dick,TOR,0.0,1610612761,2025-01-23,0
454,0022400621,1630170,1,0,Devin Vassell,SAS,0.0,1610612759,2025-01-23,0
468,0022400621,1627783,1,1,Pascal Siakam,IND,0.0,1610612754,2025-01-23,1
480,0022400626,1631128,1,1,Christian Braun,DEN,0.0,1610612743,2025-01-23,1
489,0022400626,1627734,1,0,Domantas Sabonis,SAC,0.0,1610612758,2025-01-23,0
499,0022400628,1628366,1,1,Lonzo Ball,CHI,0.0,1610612741,2025-01-23,0
511,0022400628,1631218,1,0,Trayce Jackson-Davis,GSW,0.0,1610612744,2025-01-23,1
524,0022400622,1641710,1,1,Anthony Black,ORL,0.0,1610612753,2025-01-23,1
535,0022400622,1629057,1,0,Robert Williams III,POR,0.0,1610612757,2025-01-23,0
549,0022400618,1628381,1,0,John Collins,UTA,0.0,1610612762,2025-01-22,0
558,0022400618,1631119,1,1,Jaylin Williams,OKC,0.0,1610612760,2025-01-22,1
568,0022400613,1630553,1,0,Keon Johnson,BKN,0.0,1610612751,2025-01-22,1
