bet_id,sportsbook,type,status,odds,closing_line,ev,amount,profit,time_placed,time_settled,bet_info,tags,sports,leagues
638647766604401486,Draftkings Sportsbook,parlay,SETTLED_LOSS,53.13,,,5,-5.00,10/17/2024 15:44:20 GMT,10/17/2024 23:34:09 GMT,Under 5.5 O/U VAN Canucks @ FLA Panthers | Under 1.5 O/U 1st Period VAN Canucks @ FLA Panthers | Under 3.5 FLA Panthers: Team Total Goals VAN Canucks @ FLA Panthers | Under 3.5 VAN Canucks: Team Total Goals VAN Canucks @ FLA Panthers | Under 6 O/U DAL Stars @ WAS Capitals | Under 3.5 DAL Stars: Team Total Goals DAL Stars @ WAS Capitals | Under 3.5 WAS Capitals: Team Total Goals DAL Stars @ WAS Capitals | Under 1.5 O/U 1st Period DAL Stars @ WAS Capitals | Under 6.5 O/U BUF Sabres @ CBJ Blue Jackets | Under 4.5 BUF Sabres: Team Total Goals BUF Sabres @ CBJ Blue Jackets | Under 1.5 O/U 1st Period BUF Sabres @ CBJ Blue Jackets,,Ice Hockey,NHL
PlacedBet:jI7D7NpP+57/zIQ8BHnKo1tGvlo=,ESPNBet,parlay,SETTLED_LOSS,7.13,6.26,0.1381,10,-10.00,10/16/2024 15:55:59 GMT,10/17/2024 04:38:33 GMT,PIT Penguins Moneyline Buffalo Sabres @ Pittsburgh Penguins | Under 3.5 COL Avalanche Total Goals (Excl OT) Boston Bruins @ Colorado Avalanche | Under 6.5 Total Goals Utah Hockey Club @ Anaheim Ducks,,Ice Hockey,NHL
638646816174232608,Draftkings Sportsbook,straight,SETTLED_WIN,3.00,2.25,0.3333,25,50.00,10/16/2024 13:20:16 GMT,10/17/2024 04:30:00 GMT,Mikko Rantanen Anytime Goalscorer BOS Bruins @ COL Avalanche,,Ice Hockey,NHL
O/0586450/0001808,Fanduel Sportsbook,parlay,SETTLED_WIN,2.32,,,10,13.25,10/16/2024 16:13:51 GMT,10/17/2024 03:21:24 GMT,Under (8.5) New York Mets Alt. Total Runs Los Angeles Dodgers (W Buehler) @ New York Mets (L Severino) | Under (8.5) Los Angeles Dodgers Alt. Total Runs Los Angeles Dodgers (W Buehler) @ New York Mets (L Severino) | Tie 0-0 1st Inning Correct Score Los Angeles Dodgers (W Buehler) @ New York Mets (L Severino),,Baseball,MLB
638647119612350706,Draftkings Sportsbook,parlay,SETTLED_WIN,6.94,,,10,59.40,10/16/2024 21:46:02 GMT,10/17/2024 03:08:00 GMT,Over 1.5 Total Runs - 1st 3 Innings LA Dodgers @ NY Mets | 3+ Walker Buehler Strikeouts Thrown LA Dodgers @ NY Mets | Tie 5th Inning (3 Way) LA Dodgers @ NY Mets | Over 7.5 O/U LA Dodgers @ NY Mets,,Baseball,MLB
638647153988748205,Draftkings Sportsbook,straight,SETTLED_LOSS,2.58,2.05,0.2585,10,-10.00,10/16/2024 22:43:19 GMT,10/17/2024 02:27:00 GMT,15+ Jonquel Jones Points NY Liberty @ MIN Lynx,,Basketball,WNBA
O/0586450/0001809,Fanduel Sportsbook,parlay,SETTLED_LOSS,10.40,,,10,-10.00,10/16/2024 23:35:03 GMT,10/17/2024 02:15:33 GMT,Sabrina Ionescu Over 23.5 Sabrina Ionescu - Pts + Ast New York Liberty @ Minnesota Lynx | Breanna Stewart Over 30.5 Breanna Stewart - Pts + Reb New York Liberty @ Minnesota Lynx | Jonquel Jones Over 23.5 Jonquel Jones - Pts + Reb New York Liberty @ Minnesota Lynx,,Basketball,WNBA
638646323545830023,Draftkings Sportsbook,parlay,SETTLED_LOSS,35.00,,,5,-5.00,10/15/2024 23:39:15 GMT,10/16/2024 04:10:00 GMT,Under 6.5 O/U PHI Flyers @ EDM Oilers | Under 4.5 EDM Oilers: Team Total Goals PHI Flyers @ EDM Oilers | Under 3.5 PHI Flyers: Team Total Goals PHI Flyers @ EDM Oilers | Under 1.5 O/U 1st Period PHI Flyers @ EDM Oilers | PHI Flyers +0.5 Puck Line 1st Period PHI Flyers @ EDM Oilers | Over 0.5 PHI Flyers: Team Total Goals - 1st Period PHI Flyers @ EDM Oilers | CHI Blackhawks +0.5 Puck Line 1st Period CHI Blackhawks @ CGY Flames | Under 4.5 CGY Flames: Team Total Goals CHI Blackhawks @ CGY Flames | Over 1.5 CHI Blackhawks: Team Total Goals CHI Blackhawks @ CGY Flames,,Ice Hockey,NHL
PlacedBet:pMSwfLQmGN2fhJDmkWb8WkymcIU=,ESPNBet,parlay,SETTLED_LOSS,5.95,,,20,-20.00,10/15/2024 23:29:19 GMT,10/16/2024 03:16:05 GMT,Over 1.5 Juan Soto Total Bases Cleveland Guardians @ New York Yankees | Over 0.5 Juan Soto Total RBIs Cleveland Guardians @ New York Yankees | Over 0.5 Juan Soto Total Runs Scored Cleveland Guardians @ New York Yankees | Over 4.5 Gerrit Cole Total Strikeouts Cleveland Guardians @ New York Yankees,,Baseball,MLB
638646318680355280,Draftkings Sportsbook,parlay,SETTLED_LOSS,6.81,,,10,-10.00,10/15/2024 23:31:08 GMT,10/16/2024 02:38:00 GMT,NY Yankees -1.5 Run Line CLE Guardians @ NY Yankees | Tie 5th Inning (3 Way) CLE Guardians @ NY Yankees | 5+ Gerrit Cole Strikeouts Thrown CLE Guardians @ NY Yankees,,Baseball,MLB
