name,threesMade,over_under,DraftKings,ESPN BET,FanDuel
Aaron Wiggins,0.5,Over,-215.0,-210.0,
Aaron Wiggins,0.5,Under,,135.0,
Aaron Wiggins,1.5,Over,180.0,200.0,
Aaron Wiggins,1.5,Under,,-325.0,
Aaron Wiggins,2.5,Over,550.0,500.0,
Aaron Wiggins,2.5,Under,,-1600.0,
Alex Sarr,0.5,Over,-525.0,-600.0,-650.0
Alex Sarr,0.5,Under,,300.0,
Alex Sarr,1.5,Over,-112.5,-115.0,-124.33333333333333
Alex Sarr,1.5,Under,-120.0,-115.0,-103.0
Alex Sarr,2.5,Over,265.0,230.0,245.0
Alex Sarr,2.5,Under,,-400.0,-350.0
Alex Sarr,3.5,Over,700.0,,700.0
Alex Sarr,3.5,Under,,,-1450.0
Alex Sarr,4.5,Under,,,-7000.0
Alperen Sengun,0.5,Over,,135.0,
Alperen Sengun,0.5,Under,,-210.0,
Alperen Sengun,1.5,Over,,500.0,
Alperen Sengun,1.5,Under,,-1600.0,
Amen Thompson,0.5,Over,125.0,150.0,
Amen Thompson,0.5,Under,,-240.0,
Amen Thompson,1.5,Over,750.0,550.0,
Amen Thompson,1.5,Under,,-2500.0,
Andrew Nembhard,0.5,Over,-300.0,-310.0,
Andrew Nembhard,0.5,Under,,190.0,
Andrew Nembhard,1.5,Over,149.5,150.0,
Andrew Nembhard,1.5,Under,-200.0,-240.0,
Andrew Nembhard,2.5,Over,475.0,425.0,
Andrew Nembhard,2.5,Under,,-1100.0,
Anfernee Simons,0.5,Over,,,-2750.0
Anfernee Simons,1.5,Over,-450.0,-375.0,-415.0
Anfernee Simons,1.5,Under,,220.0,290.0
Anfernee Simons,2.5,Over,-137.5,-115.0,-134.66666666666666
Anfernee Simons,2.5,Under,-105.0,-115.0,105.0
Anfernee Simons,3.5,Over,165.0,190.0,191.5
Anfernee Simons,3.5,Under,,-310.0,-260.0
Anfernee Simons,4.5,Over,360.0,,450.0
Anfernee Simons,4.5,Under,,,-700.0
Anfernee Simons,5.5,Over,800.0,,950.0
Anfernee Simons,5.5,Under,,,-3000.0
Anfernee Simons,6.5,Over,,,2300.0
Anthony Black,0.5,Over,-166.0,-170.0,
Anthony Black,0.5,Under,130.0,120.0,
Anthony Black,1.5,Over,,260.0,
Anthony Black,1.5,Under,,-475.0,
Anthony Black,2.5,Over,,600.0,
Anthony Black,2.5,Under,,-3000.0,
Bam Adebayo,0.5,Over,-127.5,-150.0,
Bam Adebayo,0.5,Under,-105.0,110.0,
Bam Adebayo,1.5,Over,390.0,280.0,
Bam Adebayo,1.5,Under,,-550.0,
Bam Adebayo,2.5,Over,,650.0,
Bam Adebayo,2.5,Under,,-3500.0,
Bennedict Mathurin,0.5,Over,-475.0,-375.0,-430.0
Bennedict Mathurin,0.5,Under,,220.0,
Bennedict Mathurin,1.5,Over,-107.5,120.0,109.33333333333333
Bennedict Mathurin,1.5,Under,-125.0,-170.0,-142.0
Bennedict Mathurin,2.5,Over,285.0,340.0,370.0
Bennedict Mathurin,2.5,Under,,-700.0,-550.0
Bennedict Mathurin,3.5,Over,800.0,,950.0
Bennedict Mathurin,3.5,Under,,,-3000.0
Bilal Coulibaly,0.5,Over,-390.0,-475.0,-470.0
Bilal Coulibaly,0.5,Under,,260.0,
Bilal Coulibaly,1.5,Over,114.5,100.0,107.33333333333333
Bilal Coulibaly,1.5,Under,-145.0,-130.0,-138.0
Bilal Coulibaly,2.5,Over,370.0,280.0,350.0
Bilal Coulibaly,2.5,Under,,-550.0,-500.0
Bilal Coulibaly,3.5,Over,1000.0,,900.0
Bilal Coulibaly,3.5,Under,,,-3000.0
Bogdan Bogdanovic,1.5,Over,,-300.0,
Bogdan Bogdanovic,1.5,Under,,185.0,
Bogdan Bogdanovic,2.5,Over,,105.0,
Bogdan Bogdanovic,2.5,Under,,-140.0,
Brandon Miller,1.5,Over,-700.0,,-825.0
Brandon Miller,2.5,Over,-230.0,-260.0,-240.0
Brandon Miller,2.5,Under,,165.0,182.0
