name,threesMade,over_under,DraftKings,ESPN BET,FanDuel
Alperen Sengun,0.5,Over,127.5,130.0,
Alperen Sengun,0.5,Under,-166.0,-200.0,
Alperen Sengun,1.5,Over,700.0,500.0,
Alperen Sengun,1.5,Under,,-1600.0,
Amen Thompson,0.5,Over,132.5,145.0,
Amen Thompson,0.5,Under,-175.0,-230.0,
Amen Thompson,1.5,Over,750.0,550.0,
Amen Thompson,1.5,Under,,-2500.0,
Amir Coffey,0.5,Over,-330.0,-400.0,-350.0
Amir Coffey,0.5,Under,,230.0,250.0
Amir Coffey,1.5,Over,132.5,125.0,129.33333333333334
Amir Coffey,1.5,Under,-175.0,-180.0,-172.0
Amir Coffey,2.5,Over,390.0,320.0,410.0
Amir Coffey,2.5,Under,,-600.0,-650.0
Amir Coffey,3.5,Over,1200.0,,1000.0
Amir Coffey,3.5,Under,,,-3500.0
Andrew Wiggins,0.5,Over,,,-1225.0
Andrew Wiggins,1.5,Over,-260.0,-260.0,-230.0
Andrew Wiggins,1.5,Under,,165.0,174.0
Andrew Wiggins,2.5,Over,109.5,125.0,138.33333333333334
Andrew Wiggins,2.5,Under,-145.0,-180.0,-184.0
Andrew Wiggins,3.5,Over,265.0,260.0,360.0
Andrew Wiggins,3.5,Under,,-475.0,-500.0
Andrew Wiggins,4.5,Over,600.0,,750.0
Andrew Wiggins,4.5,Under,,,-2000.0
Andrew Wiggins,5.5,Under,,,-10000.0
Anthony Black,0.5,Over,,-130.0,
Anthony Black,0.5,Under,,100.0,
Anthony Black,1.5,Over,,280.0,
Anthony Black,1.5,Under,,-550.0,
Anthony Black,2.5,Over,,650.0,
Anthony Black,2.5,Under,,-3500.0,
Anthony Edwards,0.5,Over,,,-3500.0
Anthony Edwards,1.5,Over,,,-600.0
Anthony Edwards,2.5,Over,-225.0,-240.0,-185.0
Anthony Edwards,2.5,Under,,150.0,
Anthony Edwards,3.5,Over,115.0,110.0,134.5
Anthony Edwards,3.5,Under,-154.0,-150.0,-172.0
Anthony Edwards,4.5,Over,250.0,220.0,300.0
Anthony Edwards,4.5,Under,,-375.0,
Anthony Edwards,5.5,Over,500.0,,650.0
Anthony Edwards,6.5,Over,1200.0,,1300.0
Anthony Edwards,7.5,Over,,,3200.0
Ben Sheppard,0.5,Over,-550.0,-650.0,-625.0
Ben Sheppard,0.5,Under,,330.0,
Ben Sheppard,1.5,Over,-115.0,-130.0,-124.33333333333333
Ben Sheppard,1.5,Under,-120.0,100.0,-103.0
Ben Sheppard,2.5,Over,245.0,210.0,245.0
Ben Sheppard,2.5,Under,,-350.0,-350.0
Ben Sheppard,3.5,Over,650.0,,700.0
Ben Sheppard,3.5,Under,,,-1400.0
Ben Sheppard,4.5,Under,,,-7000.0
Bennedict Mathurin,0.5,Over,-450.0,-475.0,-465.0
Bennedict Mathurin,0.5,Under,,260.0,
Bennedict Mathurin,1.5,Over,102.5,100.0,103.66666666666667
Bennedict Mathurin,1.5,Under,-135.0,-130.0,-134.0
Bennedict Mathurin,2.5,Over,310.0,275.0,330.0
Bennedict Mathurin,2.5,Under,,-500.0,-470.0
Bennedict Mathurin,3.5,Over,900.0,,800.0
Bennedict Mathurin,3.5,Under,,,-2200.0
Bradley Beal,0.5,Over,,,-1525.0
Bradley Beal,1.5,Over,-320.0,-310.0,-267.5
Bradley Beal,1.5,Under,,190.0,198.0
Bradley Beal,2.5,Over,-107.5,105.0,115.0
Bradley Beal,2.5,Under,-125.0,-140.0,-150.0
Bradley Beal,3.5,Over,220.0,250.0,300.0
Bradley Beal,3.5,Under,,-450.0,-440.0
Bradley Beal,4.5,Over,550.0,,750.0
Bradley Beal,4.5,Under,,,-1450.0
Bradley Beal,5.5,Over,1200.0,,
Bradley Beal,5.5,Under,,,-7000.0
Brandin Podziemski,0.5,Over,-310.0,-400.0,-400.0
Brandin Podziemski,0.5,Under,,230.0,280.0
Brandin Podziemski,1.5,Over,147.5,120.0,118.66666666666667
Brandin Podziemski,1.5,Under,-195.0,-170.0,-154.0
Brandin Podziemski,2.5,Over,450.0,330.0,390.0
Brandin Podziemski,2.5,Under,,-650.0,-600.0
Brandin Podziemski,3.5,Over,,,950.0
Brandin Podziemski,3.5,Under,,,-3000.0
Buddy Hield,0.5,Over,,,-3050.0
Buddy Hield,1.5,Over,-500.0,-475.0,-470.0
Buddy Hield,1.5,Under,,260.0,
Buddy Hield,2.5,Over,-173.0,-150.0,-158.0
Buddy Hield,2.5,Under,130.0,110.0,124.0
Buddy Hield,3.5,Over,135.0,150.0,159.0
Buddy Hield,3.5,Under,,-240.0,-215.0
Buddy Hield,4.5,Over,285.0,,360.0
Buddy Hield,4.5,Under,,,-550.0
Buddy Hield,5.5,Over,600.0,,700.0
Buddy Hield,5.5,Under,,,-1600.0
Buddy Hield,6.5,Over,1200.0,,1500.0
Buddy Hield,7.5,Over,,,3300.0
CJ McCollum,0.5,Over,,,-3400.0
CJ McCollum,1.5,Over,-500.0,,-485.0
CJ McCollum,2.5,Over,-165.0,-180.0,-161.0
CJ McCollum,2.5,Under,124.0,125.0,125.0
CJ McCollum,3.5,Over,135.0,135.0,159.0
CJ McCollum,3.5,Under,,-210.0,-215.0
CJ McCollum,4.5,Over,300.0,275.0,360.0
CJ McCollum,4.5,Under,,-500.0,-500.0
CJ McCollum,5.5,Over,600.0,,650.0
CJ McCollum,5.5,Under,,,-1600.0
CJ McCollum,6.5,Over,,,1400.0
CJ McCollum,7.5,Over,,,3500.0
Cam Whitmore,0.5,Over,,-600.0,
Cam Whitmore,0.5,Under,,320.0,
Cam Whitmore,1.5,Over,,-125.0,
Cam Whitmore,1.5,Under,,-105.0,
Cam Whitmore,2.5,Over,,190.0,
Cam Whitmore,2.5,Under,,-310.0,
Cameron Payne,0.5,Over,-190.0,-240.0,
Cameron Payne,0.5,Under,,150.0,
Cameron Payne,1.5,Over,200.0,165.0,
Cameron Payne,1.5,Under,,-260.0,
Cameron Payne,2.5,Over,550.0,380.0,
Cameron Payne,2.5,Under,,-900.0,
Caris LeVert,0.5,Over,,-350.0,-395.0
Caris LeVert,0.5,Under,,210.0,280.0
Caris LeVert,1.5,Over,,130.0,118.0
Caris LeVert,1.5,Under,,-200.0,-152.0
Caris LeVert,2.5,Over,,340.0,360.0
Caris LeVert,2.5,Under,,-700.0,-500.0
Caris LeVert,3.5,Over,,,900.0
Caris LeVert,3.5,Under,,,-3000.0
Chris Paul,0.5,Over,-700.0,-800.0,-635.0
Chris Paul,0.5,Under,,360.0,
Chris Paul,1.5,Over,-150.0,-150.0,-127.66666666666667
Chris Paul,1.5,Under,114.0,110.0,-1.0
Chris Paul,2.5,Over,195.0,190.0,235.0
Chris Paul,2.5,Under,,-310.0,-330.0
