name,threesMade,over_under,DraftKings,ESPN BET,FanDuel
Alex Sarr,0.5,Over,-380.0,,
Alex Sarr,1.5,Over,117.5,125.0,
Alex Sarr,1.5,Under,-154.0,-170.0,
Alex Sarr,2.5,Over,340.0,,
Alex Sarr,3.5,Over,950.0,,
Andrew Wiggins,0.5,Over,,,-850.0
Andrew Wiggins,1.5,Over,,-160.0,-177.0
Andrew Wiggins,1.5,Under,,120.0,142.0
Andrew Wiggins,2.5,Over,,,180.0
Andrew Wiggins,3.5,Over,,,490.0
Andrew Wiggins,4.5,Over,,,1100.0
Anfernee Simons,0.5,Over,,,-2100.0
Anfernee Simons,1.5,Over,-425.0,,-410.0
Anfernee Simons,2.5,Over,-145.0,,-134.0
Anfernee Simons,2.5,Under,110.0,,108.0
Anfernee Simons,3.5,Over,160.0,,190.0
Anfernee Simons,4.5,Over,370.0,,450.0
Anfernee Simons,5.5,Over,800.0,,900.0
Anfernee Simons,6.5,Over,,,2200.0
Anthony Davis,0.5,Over,-165.0,-150.0,
Anthony Davis,0.5,Under,124.0,115.0,
Anthony Davis,1.5,Over,270.0,,
Anthony Davis,2.5,Over,1000.0,,
Austin Reaves,0.5,Over,,,-1900.0
Austin Reaves,1.5,Over,-360.0,,-360.0
Austin Reaves,2.5,Over,-117.5,,-116.5
Austin Reaves,2.5,Under,-115.0,,-108.0
Austin Reaves,3.5,Over,205.0,,220.0
Austin Reaves,4.5,Over,475.0,,550.0
Austin Reaves,5.5,Over,1100.0,,1100.0
Austin Reaves,6.5,Over,,,2700.0
Bam Adebayo,0.5,Over,-165.0,-150.0,
Bam Adebayo,0.5,Under,,110.0,
Bam Adebayo,1.5,Over,290.0,280.0,
Bam Adebayo,1.5,Under,,-550.0,
Bam Adebayo,2.5,Over,1100.0,600.0,
Bam Adebayo,2.5,Under,,-3000.0,
Bilal Coulibaly,0.5,Over,-380.0,,-350.0
Bilal Coulibaly,1.5,Over,115.0,125.0,129.0
Bilal Coulibaly,1.5,Under,-154.0,-170.0,-164.0
Bilal Coulibaly,2.5,Over,350.0,,420.0
Bilal Coulibaly,3.5,Over,1000.0,,1100.0
Bradley Beal,0.5,Over,,,-1100.0
Bradley Beal,1.5,Over,-265.0,,-230.0
Bradley Beal,2.5,Over,115.0,125.0,131.0
Bradley Beal,2.5,Under,-154.0,-170.0,-170.0
Bradley Beal,3.5,Over,285.0,,350.0
Bradley Beal,4.5,Over,700.0,,750.0
Cade Cunningham,0.5,Over,,,-1350.0
Cade Cunningham,1.5,Over,-275.0,,-270.0
Cade Cunningham,2.5,Over,112.0,,111.0
Cade Cunningham,2.5,Under,-145.0,,-142.0
Cade Cunningham,3.5,Over,280.0,,280.0
Cade Cunningham,4.5,Over,650.0,,650.0
Cade Cunningham,5.5,Over,,,1400.0
Coby White,0.5,Over,,,-3000.0
Coby White,1.5,Over,-525.0,,-550.0
Coby White,2.5,Over,-170.5,,-170.0
Coby White,2.5,Under,130.0,,
Coby White,3.5,Over,135.0,125.0,137.5
Coby White,3.5,Under,,-170.0,-180.0
Coby White,4.5,Over,285.0,,320.0
