name,threesMade,over_under,DraftKings,ESPN BET,FanDuel
Alperen Sengun,0.5,Over,192.5,200.0,
Alperen Sengun,0.5,Under,-260.0,-300.0,
Alperen Sengun,1.5,Over,1200.0,,
Amen Thompson,0.5,Over,190.0,180.0,
Amen Thompson,0.5,Under,-260.0,-260.0,
Amen Thompson,1.5,Over,1200.0,,
Anfernee Simons,0.5,Over,,,-4000.0
Anfernee Simons,1.5,Over,,,-575.0
Anfernee Simons,2.5,Over,-154.0,-190.0,-178.0
Anfernee Simons,2.5,Under,120.0,135.0,138.0
Anfernee Simons,3.5,Over,,,143.66666666666666
Anfernee Simons,3.5,Under,,,-189.0
Anfernee Simons,4.5,Over,,,330.0
Anfernee Simons,5.5,Over,,,750.0
Anfernee Simons,6.5,Over,,,1400.0
Anthony Edwards,1.5,Over,-1000.0,,-1225.0
Anthony Edwards,2.5,Over,-285.0,,-310.0
Anthony Edwards,2.5,Under,,,205.0
Anthony Edwards,3.5,Over,-117.5,-105.0,-119.0
Anthony Edwards,3.5,Under,-115.0,-125.0,-107.0
Anthony Edwards,4.5,Over,190.0,,197.0
Anthony Edwards,4.5,Under,,,-270.0
Anthony Edwards,5.5,Over,400.0,,440.0
Anthony Edwards,5.5,Under,,,-670.0
Anthony Edwards,6.5,Over,850.0,,850.0
Anthony Edwards,6.5,Under,,,-2200.0
Anthony Edwards,7.5,Over,1800.0,,1900.0
Austin Reaves,0.5,Over,-2000.0,,-1700.0
Austin Reaves,1.5,Over,-330.0,,-320.0
Austin Reaves,2.5,Over,-112.5,-105.0,-104.5
Austin Reaves,2.5,Under,-120.0,-125.0,-122.0
Austin Reaves,3.5,Over,220.0,,250.0
Austin Reaves,4.5,Over,500.0,,600.0
Austin Reaves,5.5,Over,1200.0,,1400.0
Bilal Coulibaly,0.5,Over,-380.0,,-260.0
Bilal Coulibaly,1.5,Over,147.5,160.0,180.0
Bilal Coulibaly,1.5,Under,-230.0,-225.0,-235.0
Bilal Coulibaly,2.5,Over,370.0,,600.0
Bilal Coulibaly,3.5,Over,1000.0,,
Carlton Carrington,0.5,Over,-320.0,,-320.0
Carlton Carrington,1.5,Over,142.5,140.0,135.5
Carlton Carrington,1.5,Under,-188.0,-200.0,-174.0
Carlton Carrington,2.5,Over,425.0,,450.0
Carlton Carrington,3.5,Over,1300.0,,1100.0
Collin Sexton,0.5,Over,-700.0,,-635.0
Collin Sexton,1.5,Over,-145.0,-130.0,-129.0
Collin Sexton,1.5,Under,105.0,100.0,101.0
Collin Sexton,2.5,Over,190.0,,242.5
Collin Sexton,2.5,Under,,,-340.0
Collin Sexton,3.5,Over,500.0,,700.0
Collin Sexton,3.5,Under,,,-1400.0
Collin Sexton,4.5,Over,1300.0,,
Collin Sexton,4.5,Under,,,-7000.0
Corey Kispert,0.5,Over,-575.0,,-600.0
Corey Kispert,1.5,Over,-132.5,-140.0,-134.0
Corey Kispert,1.5,Under,100.0,105.0,108.0
Corey Kispert,2.5,Over,235.0,,220.0
Corey Kispert,3.5,Over,600.0,,600.0
Corey Kispert,4.5,Over,1600.0,,1300.0
Darius Garland,0.5,Over,,,-3400.0
Darius Garland,1.5,Over,-475.0,,-445.0
