name,threesMade,over_under,DraftKings,FanDuel
AJ Green,0.5,Over,-650.0,
AJ Green,1.5,Over,-137.5,
AJ Green,1.5,Under,105.0,
AJ Green,2.5,Over,210.0,
AJ Green,3.5,Over,550.0,
AJ Green,4.5,Over,1400.0,
Al Horford,0.5,Over,-600.0,
Al Horford,1.5,Over,-137.5,
Al Horford,1.5,Under,105.0,
Al Horford,2.5,Over,220.0,
Al Horford,3.5,Over,600.0,
Al Horford,4.5,Over,1500.0,
Alperen Sengun,0.5,Over,152.0,
Alperen Sengun,0.5,Under,-200.0,
Alperen Sengun,1.5,Over,900.0,
Amen Thompson,0.5,Over,165.0,
Amen Thompson,0.5,Under,-220.0,
Amen Thompson,1.5,Over,950.0,
Anthony Black,0.5,Over,-130.0,
Anthony Black,1.5,Over,350.0,
Anthony Black,2.5,Over,1300.0,
Austin Reaves,0.5,Over,-1600.0,-2500.0
Austin Reaves,1.5,Over,-310.0,-310.0
Austin Reaves,2.5,Over,-107.5,101.0
Austin Reaves,2.5,Under,-125.0,-132.0
Austin Reaves,3.5,Over,235.0,255.0
Austin Reaves,4.5,Over,550.0,600.0
Austin Reaves,5.5,Over,1400.0,1200.0
Austin Reaves,6.5,Over,,2500.0
Bradley Beal,0.5,Over,-700.0,-620.0
Bradley Beal,1.5,Over,-137.5,-134.0
Bradley Beal,1.5,Under,105.0,102.0
Bradley Beal,2.5,Over,210.0,230.0
Bradley Beal,3.5,Over,550.0,600.0
Bradley Beal,4.5,Over,1500.0,1400.0
Brandin Podziemski,0.5,Over,-900.0,-850.0
Brandin Podziemski,1.5,Over,-180.0,-164.0
Brandin Podziemski,1.5,Under,135.0,124.0
Brandin Podziemski,2.5,Over,160.0,200.0
Brandin Podziemski,3.5,Over,400.0,500.0
Brandin Podziemski,4.5,Over,1000.0,1200.0
Brandin Podziemski,5.5,Over,2500.0,
Brook Lopez,0.5,Over,-575.0,-530.0
Brook Lopez,1.5,Over,-117.5,-113.5
Brook Lopez,1.5,Under,-120.0,-114.0
Brook Lopez,2.5,Over,240.0,265.0
Brook Lopez,3.5,Over,650.0,680.0
Brook Lopez,4.5,Over,1600.0,
Bruce Brown Jr,0.5,Over,115.0,
Bruce Brown Jr,1.5,Over,550.0,
Bruce Brown Jr,2.5,Over,2200.0,
Buddy Hield,0.5,Over,-1000.0,-1400.0
Buddy Hield,1.5,Over,-230.0,-240.0
Buddy Hield,2.5,Over,117.5,122.0
Buddy Hield,2.5,Under,-154.0,-160.0
Buddy Hield,3.5,Over,270.0,300.0
Buddy Hield,4.5,Over,550.0,700.0
Buddy Hield,5.5,Over,1100.0,1300.0
Buddy Hield,6.5,Over,2200.0,3000.0
CJ McCollum,0.5,Over,,-3250.0
CJ McCollum,1.5,Over,-475.0,-410.0
CJ McCollum,1.5,Under,,280.0
CJ McCollum,2.5,Over,-145.0,-137.33333333333334
CJ McCollum,2.5,Under,110.0,104.0
CJ McCollum,3.5,Over,150.0,192.0
CJ McCollum,3.5,Under,,-260.0
CJ McCollum,4.5,Over,330.0,450.0
CJ McCollum,4.5,Under,,-700.0
CJ McCollum,5.5,Over,750.0,870.0
CJ McCollum,5.5,Under,,-2500.0
CJ McCollum,6.5,Over,1600.0,1500.0
CJ McCollum,7.5,Over,,3500.0
Chris Paul,0.5,Over,-750.0,-660.0
Chris Paul,1.5,Over,-150.0,-137.33333333333334
Chris Paul,1.5,Under,110.0,104.0
Chris Paul,2.5,Over,180.0,230.0
Chris Paul,2.5,Under,,-320.0
Chris Paul,3.5,Over,450.0,600.0
Chris Paul,3.5,Under,,-1200.0
Chris Paul,4.5,Over,1100.0,1500.0
Chris Paul,4.5,Under,,-7000.0
Chris Paul,5.5,Over,2500.0,
Cole Anthony,0.5,Over,-330.0,-350.0
Cole Anthony,0.5,Under,,240.0
Cole Anthony,1.5,Over,132.5,140.0
Cole Anthony,1.5,Under,-175.0,-188.0
Cole Anthony,2.5,Over,400.0,450.0
Cole Anthony,2.5,Under,,-750.0
