name,threesMade,over_under,DraftKings,FanDuel
Aaron Gordon,0.5,Over,-190.0,
Aaron Gordon,1.5,Over,275.0,
Aaron Gordon,2.5,Over,1000.0,
Aaron Nesmith,0.5,Over,-390.0,-400.0
Aaron Nesmith,1.5,Over,117.0,116.0
Aaron Nesmith,1.5,Under,-160.0,-154.0
Aaron Nesmith,2.5,Over,330.0,360.0
Aaron Nesmith,3.5,Over,950.0,900.0
Aaron Nesmith,4.5,Over,2500.0,
Aaron Wiggins,0.5,Over,-650.0,-620.0
Aaron Wiggins,1.5,Over,-140.0,-133.0
Aaron Wiggins,1.5,Under,,102.0
Aaron Wiggins,2.5,Over,215.0,235.0
Aaron Wiggins,3.5,Over,550.0,600.0
Aaron Wiggins,4.5,Over,1400.0,1400.0
Andrew Nembhard,0.5,Over,-195.0,
Andrew Nembhard,1.5,Over,245.0,
Andrew Nembhard,2.5,Over,850.0,
Andrew Wiggins,0.5,Over,-1100.0,-1450.0
Andrew Wiggins,1.5,Over,-220.0,-235.0
Andrew Wiggins,2.5,Over,137.5,133.0
Andrew Wiggins,2.5,Under,-180.0,-178.0
Andrew Wiggins,3.5,Over,340.0,340.0
Andrew Wiggins,4.5,Over,850.0,800.0
Andrew Wiggins,5.5,Over,2000.0,
Anfernee Simons,0.5,Over,,-4500.0
Anfernee Simons,1.5,Over,-650.0,-560.0
Anfernee Simons,2.5,Over,-195.0,-183.0
Anfernee Simons,2.5,Under,,138.0
Anfernee Simons,3.5,Over,127.5,144.0
Anfernee Simons,3.5,Under,-166.0,
Anfernee Simons,4.5,Over,280.0,330.0
Anfernee Simons,5.5,Over,600.0,700.0
Anfernee Simons,6.5,Over,1400.0,1400.0
Anfernee Simons,7.5,Over,,3000.0
Austin Reaves,1.5,Over,-425.0,
Austin Reaves,2.5,Over,-137.5,
Austin Reaves,2.5,Under,105.0,
Austin Reaves,3.5,Over,175.0,
Austin Reaves,4.5,Over,400.0,
Austin Reaves,5.5,Over,900.0,
Austin Reaves,6.5,Over,2000.0,
Ayo Dosunmu,0.5,Over,-450.0,
Ayo Dosunmu,1.5,Over,-2.5,
Ayo Dosunmu,1.5,Under,-130.0,
Ayo Dosunmu,2.5,Over,285.0,
Ayo Dosunmu,3.5,Over,750.0,
Ayo Dosunmu,4.5,Over,2000.0,
Bam Adebayo,0.5,Over,-135.0,
Bam Adebayo,1.5,Over,360.0,
Bam Adebayo,2.5,Over,1400.0,
Bennedict Mathurin,0.5,Over,-265.0,
Bennedict Mathurin,1.5,Over,165.0,
Bennedict Mathurin,2.5,Over,500.0,
Bennedict Mathurin,3.5,Over,1400.0,
Bol Bol,0.5,Over,-550.0,
Bol Bol,1.5,Over,-122.5,
Bol Bol,1.5,Under,-110.0,
Bol Bol,2.5,Over,255.0,
Bol Bol,3.5,Over,700.0,
Bol Bol,4.5,Over,1800.0,
Bradley Beal,0.5,Over,-800.0,
Bradley Beal,1.5,Over,-150.0,
Bradley Beal,1.5,Under,105.0,
Bradley Beal,2.5,Over,185.0,
Bradley Beal,3.5,Over,500.0,
Bradley Beal,4.5,Over,1300.0,
CJ McCollum,0.5,Over,,-3500.0
