season,date,away_team,away_score,away_point_spread,away_point_spread_line,away_money_line,home_team,home_score,home_point_spread,home_point_spread_line,home_money_line,over_under,over_line,under_line
2022-23,2022-10-07,indiana_pacers,114,7.0,-109,240,new_york_knicks,131,-7.0,-109,-300,216.5,-109,-109
2022-23,2022-10-07,boston_celtics,112,-9.0,-109,-500,charlotte_hornets,103,9.0,-109,350,219.5,-109,-109
2022-23,2022-10-07,toronto_raptors,100,-7.0,-109,-300,houston_rockets,116,7.0,-109,240,221.5,-109,-109
2022-23,2022-10-07,denver_nuggets,113,1.5,-109,110,chicago_bulls,131,-1.5,-109,-130,218.5,-109,-109
2022-23,2022-10-07,miami_heat,111,7.5,-109,250,memphis_grizzlies,108,-7.5,-109,-320,210.5,-109,-109
2022-23,2022-10-07,detroit_pistons,101,6.5,-109,205,new_orleans_pelicans,107,-6.5,-109,-245,216.5,-109,-109
2022-23,2022-10-07,orlando_magic,110,8.5,-109,300,dallas_mavericks,105,-8.5,-109,-410,209.5,-109,-109
2022-23,2022-10-09,chicago_bulls,115,2.5,-110,0,toronto_raptors,98,-2.5,-110,0,225.5,-110,-110
2022-23,2022-10-09,new_orleans_pelicans,111,-7.5,-110,0,san_antonio_spurs,97,7.5,-110,0,215.5,-110,-110
2022-23,2022-10-09,los_angeles_lakers,124,5.5,-110,0,golden_state_warriors,121,-5.5,-110,0,217.5,-110,-110
2022-23,2022-10-09,portland_trail_blazers,94,1.0,-110,0,sacramento_kings,126,-1.0,-110,0,218.5,-110,-110
2022-23,2022-10-09,minnesota_timberwolves,119,3.5,-110,0,los_angeles_clippers,117,-3.5,-110,0,215.5,-110,-110
2022-23,2022-10-11,memphis_grizzlies,105,-7.5,-110,-325,orlando_magic,109,7.5,-110,250,214.5,-110,-110
2022-23,2022-10-11,oklahoma_city_thunder,115,6.0,-110,195,detroit_pistons,99,-6.0,-110,-235,213.0,-110,-110
2022-23,2022-10-11,milwaukee_bucks,104,2.5,-110,125,chicago_bulls,127,-2.5,-110,-145,229.5,-110,-110
2022-23,2022-10-11,san_antonio_spurs,111,5.0,-110,170,utah_jazz,104,-5.0,-110,-200,216.5,-110,-110
2022-23,2022-10-11,portland_trail_blazers,98,6.5,-110,205,golden_state_warriors,131,-6.5,-110,-255,220.5,-110,-110
2022-23,2022-10-12,charlotte_hornets,94,8.5,-110,0,philadelphia_76ers,99,-8.5,-110,0,222.0,-110,-110
2022-23,2022-10-12,new_york_knicks,100,-4.0,-110,0,indiana_pacers,109,4.0,-110,0,221.0,-110,-110
2022-23,2022-10-12,atlanta_hawks,99,2.0,-110,0,cleveland_cavaliers,105,-2.0,-110,0,224.5,-110,-110
2022-23,2022-10-12,brooklyn_nets,107,3.0,-110,0,milwaukee_bucks,97,-3.0,-110,0,227.5,-120,100
2022-23,2022-10-12,new_orleans_pelicans,103,4.5,-110,0,miami_heat,120,-4.5,-110,0,217.0,100,-120
2022-23,2022-10-12,minnesota_timberwolves,118,1.0,-110,0,los_angeles_lakers,113,-1.0,-110,0,218.5,-115,-105
2022-23,2022-10-12,sacramento_kings,105,6.5,-110,0,phoenix_suns,104,-6.5,-110,0,216.0,100,-120
2022-23,2022-10-12,denver_nuggets,126,3.5,-110,0,los_angeles_clippers,115,-3.5,-110,0,217.5,-110,-110
2022-23,2022-10-18,philadelphia_76ers,117,3.5,-110,155,boston_celtics,126,-3.5,-110,-175,214.0,-110,-110
2022-23,2022-10-18,los_angeles_lakers,109,6.0,-110,200,golden_state_warriors,123,-6.0,-110,-240,227.5,-107,-112
2022-23,2022-10-19,washington_wizards,114,-2.0,-110,-130,indiana_pacers,107,2.0,-110,110,227.0,-110,-110
2022-23,2022-10-19,orlando_magic,109,4.0,-110,155,detroit_pistons,113,-4.0,-110,-175,217.5,-110,-110
2022-23,2022-10-19,new_orleans_pelicans,130,4.0,-115,155,brooklyn_nets,108,-4.0,-105,-175,230.5,-110,-110
2022-23,2022-10-19,cleveland_cavaliers,105,3.0,-110,135,toronto_raptors,108,-3.0,-110,-155,215.0,-110,-110
2022-23,2022-10-19,new_york_knicks,112,6.5,-110,240,memphis_grizzlies,115,-6.5,-110,-280,226.5,-110,-110
2022-23,2022-10-19,houston_rockets,107,9.5,-110,360,atlanta_hawks,117,-9.5,-110,-450,233.5,-110,-110
2022-23,2022-10-19,chicago_bulls,116,6.0,-110,180,miami_heat,108,-6.0,-110,-220,217.0,-115,-105
2022-23,2022-10-19,charlotte_hornets,129,-3.0,-115,-160,san_antonio_spurs,102,3.0,-105,140,230.0,-105,-115
2022-23,2022-10-19,oklahoma_city_thunder,108,11.5,-110,425,minnesota_timberwolves,115,-11.5,-110,-550,228.5,-110,-110
2022-23,2022-10-19,denver_nuggets,102,-8.5,-110,-320,utah_jazz,123,8.5,-110,260,218.0,-110,-110
2022-23,2022-10-19,dallas_mavericks,105,5.0,-110,180,phoenix_suns,107,-5.0,-110,-220,216.5,-110,-110
2022-23,2022-10-19,portland_trail_blazers,115,1.5,-110,-100,sacramento_kings,108,-1.5,-110,-120,225.5,-110,-110
2022-23,2022-10-20,milwaukee_bucks,90,3.0,-110,130,philadelphia_76ers,88,-3.0,-110,-150,225.0,-110,-110
2022-23,2022-10-20,los_angeles_clippers,103,-3.5,-110,-160,los_angeles_lakers,97,3.5,-110,140,220.5,-110,-110
2022-23,2022-10-21,chicago_bulls,100,2.5,-107,110,washington_wizards,102,-2.0,-110,-130,220.5,-110,-105
2022-23,2022-10-21,new_orleans_pelicans,124,-6.5,-110,-275,charlotte_hornets,112,7.0,-107,228,226.0,-110,-105
2022-23,2022-10-21,san_antonio_spurs,137,2.0,-110,105,indiana_pacers,134,-1.5,-107,-120,232.5,-107,-107
2022-23,2022-10-21,detroit_pistons,106,7.0,-107,240,new_york_knicks,130,-7.0,-107,-275,220.5,-107,-107
2022-23,2022-10-21,orlando_magic,98,9.0,-107,350,atlanta_hawks,108,-9.0,-107,-400,225.5,-107,-107
2022-23,2022-10-21,boston_celtics,111,-2.5,-105,-130,miami_heat,104,2.5,107,115,221.0,-110,-107
2022-23,2022-10-21,toronto_raptors,105,2.5,-107,122,brooklyn_nets,109,-2.5,-107,-140,226.0,-110,-105
2022-23,2022-10-21,memphis_grizzlies,129,-6.5,-115,-275,houston_rockets,122,7.0,-107,228,230.5,-110,-110
2022-23,2022-10-21,utah_jazz,132,8.0,-107,270,minnesota_timberwolves,126,-8.0,-107,-325,227.0,-110,-110
2022-23,2022-10-21,denver_nuggets,128,5.5,-110,180,golden_state_warriors,123,-5.0,-107,-200,229.5,-110,-110
2022-23,2022-10-21,phoenix_suns,111,-5.0,-110,-210,portland_trail_blazers,113,5.5,-107,180,224.0,-110,-105
2022-23,2022-10-22,san_antonio_spurs,114,13.5,-107,650,philadelphia_76ers,105,-13.0,-110,-800,224.5,-110,-110
2022-23,2022-10-22,boston_celtics,126,-8.5,-105,-375,orlando_magic,120,8.5,-110,310,215.0,-107,-107
2022-23,2022-10-22,detroit_pistons,115,1.0,-107,100,indiana_pacers,124,-1.0,-107,-107,232.0,-107,-107
2022-23,2022-10-22,toronto_raptors,109,3.5,-107,140,miami_heat,112,-3.5,-107,-150,216.5,-105,-105
2022-23,2022-10-22,houston_rockets,105,13.5,-110,650,milwaukee_bucks,125,-13.0,-105,-899,227.5,-110,-110
2022-23,2022-10-22,cleveland_cavaliers,128,-1.5,-110,-120,chicago_bulls,96,1.5,-105,105,220.5,-110,-110
2022-23,2022-10-22,memphis_grizzlies,96,5.5,-107,185,dallas_mavericks,137,-5.5,-107,-225,219.5,-110,-110
2022-23,2022-10-22,oklahoma_city_thunder,117,9.0,-107,320,denver_nuggets,122,-9.0,-107,-375,227.0,-107,-107
2022-23,2022-10-22,los_angeles_clippers,111,-2.5,-110,-135,sacramento_kings,109,3.0,-107,118,225.5,-107,-107
2022-23,2022-10-23,portland_trail_blazers,106,4.0,-107,150,los_angeles_lakers,104,-4.0,-107,-175,226.5,-107,-107
2022-23,2022-10-23,charlotte_hornets,126,10.0,-110,375,atlanta_hawks,109,-9.5,-110,-480,227.0,-107,-107
2022-23,2022-10-23,utah_jazz,122,8.0,-107,300,new_orleans_pelicans,121,-8.0,-107,-350,231.5,-105,-110
2022-23,2022-10-23,washington_wizards,107,4.0,-110,143,cleveland_cavaliers,117,-3.5,-107,-160,216.5,-107,-107
2022-23,2022-10-23,minnesota_timberwolves,116,-9.5,-107,-450,oklahoma_city_thunder,106,10.0,-110,360,225.0,-110,-110
2022-23,2022-10-23,sacramento_kings,125,10.0,-110,400,golden_state_warriors,130,-10.0,-105,-480,232.5,-107,-107
2022-23,2022-10-23,phoenix_suns,112,-1.5,-110,-120,los_angeles_clippers,95,1.5,-105,110,219.5,-110,-110
2022-23,2022-10-24,indiana_pacers,106,12.5,-110,575,philadelphia_76ers,120,-12.0,-107,-800,228.5,-107,-105
2022-23,2022-10-24,orlando_magic,102,7.5,-105,250,new_york_knicks,115,-7.5,-110,-300,222.5,-105,-110
2022-23,2022-10-24,toronto_raptors,98,3.5,-107,143,miami_heat,90,-3.5,-107,-160,214.5,-110,-110
2022-23,2022-10-24,brooklyn_nets,124,1.5,-107,100,memphis_grizzlies,134,-1.5,-105,-110,235.5,-107,-107
2022-23,2022-10-24,boston_celtics,102,-5.5,-107,-220,chicago_bulls,120,5.5,-105,195,225.0,-110,-110
2022-23,2022-10-24,san_antonio_spurs,115,8.5,-107,280,minnesota_timberwolves,106,-8.5,-107,-350,234.5,-110,-105
2022-23,2022-10-24,utah_jazz,108,-2.5,-107,-140,houston_rockets,114,2.5,-107,122,234.0,-105,-110
2022-23,2022-10-24,denver_nuggets,110,-5.0,-107,-200,portland_trail_blazers,135,5.0,-107,175,227.5,-107,-107
2022-23,2022-10-25,detroit_pistons,99,5.5,-108,185,washington_wizards,120,-5.5,-108,-210,221.0,-105,-110
2022-23,2022-10-25,dallas_mavericks,111,-5.0,-110,-210,new_orleans_pelicans,113,5.5,-105,190,219.0,-105,-110
2022-23,2022-10-25,los_angeles_clippers,94,-5.0,-110,-225,oklahoma_city_thunder,108,5.5,-107,185,217.5,-110,-110
2022-23,2022-10-25,golden_state_warriors,105,2.0,-110,105,phoenix_suns,134,-1.5,-110,-120,227.0,-107,-107
2022-23,2022-10-26,atlanta_hawks,118,-7.5,-107,-300,detroit_pistons,113,7.5,-105,260,229.0,-110,-110
2022-23,2022-10-26,orlando_magic,92,9.0,-107,330,cleveland_cavaliers,103,-8.5,-110,-375,215.5,-107,-107
2022-23,2022-10-26,charlotte_hornets,131,7.5,-107,250,new_york_knicks,134,-7.0,-107,-300,224.5,-107,-107
2022-23,2022-10-26,philadelphia_76ers,109,0.0,-110,-110,toronto_raptors,119,1.5,-110,100,212.0,-105,-110
2022-23,2022-10-26,brooklyn_nets,99,3.5,-107,135,milwaukee_bucks,110,-3.0,-110,-155,230.5,-107,-107
2022-23,2022-10-26,san_antonio_spurs,122,9.5,-107,360,minnesota_timberwolves,134,-9.5,-105,-450,234.5,-107,-105
2022-23,2022-10-26,indiana_pacers,109,7.5,-115,240,chicago_bulls,124,-7.0,-105,-285,233.5,-107,-107
2022-23,2022-10-26,houston_rockets,101,8.5,-110,300,utah_jazz,109,-8.0,-107,-325,231.5,-107,-105
2022-23,2022-10-26,los_angeles_lakers,99,5.0,-105,180,denver_nuggets,110,-5.0,-110,-195,230.5,-107,-107
2022-23,2022-10-26,miami_heat,119,-2.5,-107,-145,portland_trail_blazers,98,3.0,-110,126,220.0,-107,-107
2022-23,2022-10-27,dallas_mavericks,129,-2.5,-110,-140,brooklyn_nets,125,2.5,-105,125,225.0,-107,-107
2022-23,2022-10-27,los_angeles_clippers,110,-7.0,-107,-275,oklahoma_city_thunder,118,7.0,107,230,218.5,-107,-107
2022-23,2022-10-27,memphis_grizzlies,125,-4.5,-107,-140,sacramento_kings,110,4.5,107,125,236.5,-107,-107
2022-23,2022-10-27,miami_heat,110,6.0,-107,190,golden_state_warriors,123,-5.5,-110,-220,227.5,-105,-110
2022-23,2022-10-28,charlotte_hornets,93,-1.5,-107,-120,orlando_magic,113,2.0,-110,105,220.5,-107,-107
2022-23,2022-10-28,atlanta_hawks,136,-6.0,-107,-225,detroit_pistons,112,6.5,-115,200,229.5,-105,-105
2022-23,2022-10-28,philadelphia_76ers,112,4.0,-107,150,toronto_raptors,90,-3.5,-110,-165,214.0,-107,-107
2022-23,2022-10-28,cleveland_cavaliers,132,7.0,-107,240,boston_celtics,123,-6.5,-115,-250,218.0,-110,-110
2022-23,2022-10-28,indiana_pacers,127,5.0,-107,175,washington_wizards,117,-4.5,-110,-190,228.0,-107,-107
2022-23,2022-10-28,los_angeles_lakers,102,8.5,-110,260,minnesota_timberwolves,111,-8.0,-107,-320,232.0,-107,-107
2022-23,2022-10-28,new_york_knicks,108,6.0,-107,205,milwaukee_bucks,119,-6.0,-107,-240,223.5,-105,-110
2022-23,2022-10-28,chicago_bulls,124,-4.0,-107,-170,san_antonio_spurs,129,4.0,-107,155,229.5,-107,-107
2022-23,2022-10-28,utah_jazz,101,8.0,-107,280,denver_nuggets,117,-7.5,-110,-300,232.0,-110,-110
2022-23,2022-10-28,houston_rockets,111,4.5,-107,158,portland_trail_blazers,125,-4.0,-110,-175,223.0,-110,-110
2022-23,2022-10-28,new_orleans_pelicans,111,8.0,-107,280,phoenix_suns,124,-8.0,-107,-345,225.5,-105,-105
2022-23,2022-10-29,miami_heat,113,-4.0,-107,-165,sacramento_kings,119,4.0,-107,145,228.0,-107,-107
2022-23,2022-10-29,golden_state_warriors,113,-10.0,-107,-480,charlotte_hornets,120,10.0,-107,375,234.0,-105,-110
2022-23,2022-10-29,indiana_pacers,125,11.0,-107,450,brooklyn_nets,116,-11.0,-107,-600,239.5,-105,-110
2022-23,2022-10-29,atlanta_hawks,115,6.0,-107,185,milwaukee_bucks,123,-5.5,-110,-210,228.0,-110,-105
2022-23,2022-10-29,philadelphia_76ers,114,-2.5,-110,-140,chicago_bulls,109,3.0,-107,120,221.5,-110,-105
2022-23,2022-10-29,oklahoma_city_thunder,117,10.5,-107,400,dallas_mavericks,111,-10.5,-105,-500,218.5,-110,-107
2022-23,2022-10-29,memphis_grizzlies,123,-3.0,-110,-150,utah_jazz,124,3.5,-107,140,225.5,-105,-110
2022-23,2022-10-30,new_orleans_pelicans,112,2.5,-107,110,los_angeles_clippers,91,-2.0,-110,-130,226.0,-107,-107
2022-23,2022-10-30,new_york_knicks,108,3.5,-107,143,cleveland_cavaliers,121,-3.5,-107,-165,220.0,-105,-105
2022-23,2022-10-30,golden_state_warriors,114,-7.5,-105,-300,detroit_pistons,128,7.5,-110,260,231.5,-107,-107
2022-23,2022-10-30,washington_wizards,94,9.5,-107,350,boston_celtics,112,-9.5,-107,-425,221.0,-107,-107
2022-23,2022-10-30,minnesota_timberwolves,98,-6.0,-107,-235,san_antonio_spurs,107,6.0,-107,200,236.5,-110,-105
2022-23,2022-10-30,orlando_magic,105,9.0,-105,335,dallas_mavericks,114,-9.0,-110,-400,211.5,-107,-110
2022-23,2022-10-30,houston_rockets,109,13.0,-110,600,phoenix_suns,124,-12.5,-107,-800,227.5,-110,-110
2022-23,2022-10-30,denver_nuggets,110,-2.0,-107,-120,los_angeles_lakers,121,2.5,-110,118,228.5,-110,-110
2022-23,2022-10-31,sacramento_kings,115,-3.5,-105,-155,charlotte_hornets,108,3.5,-107,143,231.5,-107,-107
2022-23,2022-10-31,philadelphia_76ers,118,-2.5,-107,-140,washington_wizards,111,2.5,-107,120,215.5,-110,-110
2022-23,2022-10-31,atlanta_hawks,109,2.5,-115,110,toronto_raptors,139,-2.0,-107,-130,225.5,-105,-105
2022-23,2022-10-31,indiana_pacers,109,8.0,-107,270,brooklyn_nets,116,-7.5,-110,-325,236.5,-107,-107
2022-23,2022-10-31,detroit_pistons,108,13.5,-110,600,milwaukee_bucks,110,-13.0,-107,-800,224.5,-107,-107
2022-23,2022-10-31,memphis_grizzlies,105,-2.5,-110,-135,utah_jazz,121,2.5,-105,118,231.5,-107,-107
2022-23,2022-10-31,houston_rockets,93,8.5,-105,310,los_angeles_clippers,95,-8.5,-110,-370,225.5,-110,-110
2022-23,2022-11-01,golden_state_warriors,109,1.0,-107,-105,miami_heat,116,-1.0,-107,-110,225.5,-107,-107
2022-23,2022-11-01,chicago_bulls,108,2.0,-107,115,brooklyn_nets,99,-2.0,-107,-125,232.5,-107,-107
2022-23,2022-11-01,orlando_magic,108,3.5,-107,140,oklahoma_city_thunder,116,-3.0,-110,-150,216.0,-110,-105
2022-23,2022-11-01,minnesota_timberwolves,107,4.0,-107,150,phoenix_suns,116,-4.0,-107,-165,227.5,-105,-105
2022-23,2022-11-02,washington_wizards,121,6.0,-110,190,philadelphia_76ers,111,-5.5,-107,-225,217.5,-107,-107
2022-23,2022-11-02,sacramento_kings,107,5.0,-110,190,miami_heat,110,-4.5,-110,-175,220.5,-105,-105
2022-23,2022-11-02,atlanta_hawks,112,2.5,-107,118,new_york_knicks,99,-2.5,-105,-130,233.5,-105,-110
2022-23,2022-11-02,boston_celtics,113,-1.5,-107,-120,cleveland_cavaliers,114,1.5,-107,105,220.0,-107,-107
2022-23,2022-11-02,toronto_raptors,143,-6.5,-110,-250,san_antonio_spurs,100,7.0,-110,220,223.5,-105,-110
2022-23,2022-11-02,detroit_pistons,91,11.5,-107,460,milwaukee_bucks,116,-11.5,-107,-625,223.0,-107,-107
2022-23,2022-11-02,los_angeles_clippers,109,-6.0,-107,-225,houston_rockets,101,6.0,-107,185,223.5,-105,-110
2022-23,2022-11-02,charlotte_hornets,88,6.0,-107,205,chicago_bulls,106,-5.5,-110,-240,224.5,-107,-105
2022-23,2022-11-02,utah_jazz,100,7.0,-110,220,dallas_mavericks,103,-6.5,-110,-250,222.0,-105,-110
2022-23,2022-11-02,memphis_grizzlies,111,-5.0,-107,-210,portland_trail_blazers,106,5.5,-115,185,227.5,-107,-107
2022-23,2022-11-02,new_orleans_pelicans,117,-2.0,-110,-130,los_angeles_lakers,120,2.5,-105,120,230.0,-107,-107
2022-23,2022-11-03,golden_state_warriors,129,-9.5,-107,-440,orlando_magic,130,9.5,-107,350,225.5,-110,-107
2022-23,2022-11-03,denver_nuggets,122,-6.5,-107,-240,oklahoma_city_thunder,110,6.5,-107,220,228.0,-107,-107
2022-23,2022-11-04,cleveland_cavaliers,112,-4.0,-107,-160,detroit_pistons,88,4.0,-107,143,215.0,-110,-110
